"month","eur_ron","date"
"2018-01",4.6412,2018-01-03
"2018-02",4.6551,2018-02-01
"2018-03",4.6581,2018-03-01
"2018-04",4.6548,2018-04-02
"2018-05",4.663,2018-05-02
"2018-06",4.6566,2018-06-04
"2018-07",4.661,2018-07-02
"2018-08",4.6255,2018-08-01
"2018-09",4.6375,2018-09-03
"2018-10",4.6596,2018-10-01
"2018-11",4.6639,2018-11-01
"2018-12",4.6566,2018-12-03
"2019-01",4.6656,2019-01-03
"2019-02",4.7517,2019-02-01
"2019-03",4.7433,2019-03-01
"2019-04",4.7625,2019-04-01
"2019-05",4.7579,2019-05-02
"2019-06",4.745,2019-06-03
"2019-07",4.7328,2019-07-01
"2019-08",4.7317,2019-08-01
"2019-09",4.723,2019-09-02
"2019-10",4.7512,2019-10-01
"2019-11",4.7545,2019-11-01
"2019-12",4.7777,2019-12-02
"2020-01",4.7789,2020-01-03
"2020-02",4.7788,2020-02-03
"2020-03",4.8103,2020-03-02
"2020-04",4.8246,2020-04-01
"2020-05",4.8387,2020-05-04
"2020-06",4.8419,2020-06-02
"2020-07",4.8372,2020-07-01
"2020-08",4.8351,2020-08-03
"2020-09",4.8393,2020-09-01
"2020-10",4.8721,2020-10-01
"2020-11",4.8643,2020-11-02
"2020-12",4.8721,2020-12-02
"2021-01",4.8691,2021-01-04
"2021-02",4.8728,2021-02-01
"2021-03",4.8744,2021-03-01
"2021-04",4.9117,2021-04-01
"2021-05",4.9256,2021-05-04
"2021-06",4.9197,2021-06-02
"2021-07",4.9261,2021-07-01
"2021-08",4.9171,2021-08-02
"2021-09",4.9345,2021-09-01
"2021-10",4.9479,2021-10-01
"2021-11",4.9488,2021-11-01
"2021-12",4.949,2021-12-02
"2022-01",4.9474,2022-01-03
"2022-02",4.9464,2022-02-01
"2022-03",4.9487,2022-03-01
"2022-04",4.9454,2022-04-01
"2022-05",4.9476,2022-05-02
"2022-06",4.9411,2022-06-02
"2022-07",4.9461,2022-07-01
"2022-08",4.9287,2022-08-01
"2022-09",4.8525,2022-09-01
"2022-10",4.948,2022-10-03
"2022-11",4.9134,2022-11-01
"2022-12",4.9297,2022-12-02
"2023-01",4.9273,2023-01-03
"2023-02",4.9148,2023-02-01
"2023-03",4.9267,2023-03-01
"2023-04",4.9419,2023-04-03
"2023-05",4.929,2023-05-02
"2023-06",4.9633,2023-06-02
"2023-07",4.9517,2023-07-03
"2023-08",4.9334,2023-08-01
"2023-09",4.944,2023-09-01
"2023-10",4.9744,2023-10-02
"2023-11",4.9685,2023-11-01
"2023-12",4.9678,2023-12-04
"2024-01",4.9731,2024-01-03
"2024-02",4.9747,2024-02-01
"2024-03",4.9699,2024-03-01
"2024-04",4.97,2024-04-01
"2024-05",4.9764,2024-05-02
"2024-06",4.9761,2024-06-03
"2024-07",4.977,2024-07-01
"2024-08",4.976,2024-08-01
"2024-09",4.9755,2024-09-02
"2024-10",4.9758,2024-10-01
"2024-11",4.9747,2024-11-01
"2024-12",4.9769,2024-12-02
"2025-01",4.9749,2025-01-03
"2025-02",4.9766,2025-02-03
"2025-03",4.9774,2025-03-03
"2025-04",4.977,2025-04-01
"2025-05",4.9773,2025-05-02
"2025-06",5.0572,2025-06-02
"2025-07",5.0772,2025-07-01
"2025-08",5.077,2025-08-01
"2025-09",5.0725,2025-09-01
"2025-10",5.082,2025-10-01
"2025-11",5.0861,2025-11-03
"2025-12",5.0893,2025-12-02
"2026-01",5.0905,2026-01-05
"2026-02",5.0959,2026-02-02
"2026-03",5.0972,2026-03-02
"2026-04",5.0985,2026-04-01
"2026-05",5.1998,2026-05-04
"2026-06",5.2556,2026-06-02
"2026-07",5.2409,2026-07-01
"2026-08",5.246,2026-08-03
"2026-09",5.2575,2026-09-01
